"Story","Title","Result","Date","Stability","Duration (s)"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SKIPPED","2017-10-04T16:38:02.618-04:00","0.0","0.0"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SKIPPED","2017-10-04T16:38:02.672-04:00","0.0","0.02"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SKIPPED","2017-10-04T16:38:02.640-04:00","0.0","0.0"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SKIPPED","2017-10-04T16:38:02.656-04:00","0.0","0.02"
