"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-10-05T16:24:27.957-04:00","0.0","26.02"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-10-05T16:25:10.894-04:00","0.0","20.71"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-10-05T16:25:51.945-04:00","0.0","19.32"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-10-05T16:26:11.279-04:00","0.0","19.6"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-10-05T16:25:31.638-04:00","0.0","20.3"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-10-05T16:24:53.994-04:00","0.0","16.88"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-10-05T16:24:02.569-04:00","0.0","25.3"
