"Story","Title","Result","Date","Stability","Duration (s)"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2018-02-01T12:21:37.892-05:00","0.0","23.06"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2018-02-01T12:22:34.396-05:00","0.0","42.96"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2018-02-01T12:22:00.952-05:00","0.0","33.44"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2018-02-01T12:21:05.146-05:00","0.0","32.74"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2018-02-01T12:20:06.219-05:00","0.0","58.92"
