"Story","Title","Result","Date","Stability","Duration (s)"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SKIPPED","2018-01-16T13:20:38.147-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2018-01-16T13:22:48.679-05:00","0.0","42.17"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2018-01-16T13:22:15.758-05:00","0.0","32.92"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","FAILURE","2018-01-16T13:23:30.852-05:00","0.0","493.75"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2018-01-16T13:21:43.909-05:00","0.0","31.84"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2018-01-16T13:20:38.905-05:00","0.0","65.0"
