"Story","Title","Result","Date","Stability","Duration (s)"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-12-05T10:02:03.801-05:00","0.0","30.3"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-12-05T10:03:11.542-05:00","0.0","17.03"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-12-05T10:02:34.108-05:00","0.0","19.21"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-12-05T10:02:53.335-05:00","0.0","18.19"
