"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2018-01-16T13:16:53.114-05:00","0.0","23.28"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2018-01-16T13:17:32.082-05:00","0.0","18.69"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2018-01-16T13:18:09.003-05:00","0.0","17.68"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2018-01-16T13:18:26.692-05:00","0.0","17.45"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2018-01-16T13:17:50.780-05:00","0.0","18.22"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2018-01-16T13:17:16.398-05:00","0.0","15.68"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2018-01-16T13:16:34.457-05:00","0.0","18.61"
