"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-12-05T11:20:23.494-05:00","0.0","21.75"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-12-05T11:21:00.424-05:00","0.0","18.29"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-12-05T11:21:37.020-05:00","0.0","19.19"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-12-05T11:21:56.245-05:00","0.0","27.26"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-12-05T11:21:18.728-05:00","0.0","18.28"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-12-05T11:20:45.256-05:00","0.0","15.15"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-12-05T11:19:49.901-05:00","0.0","33.45"
