"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-12-28T15:59:56.954-05:00","0.0","23.07"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-12-28T16:00:36.133-05:00","0.0","19.01"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-12-28T16:01:13.586-05:00","0.0","17.86"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-12-28T16:01:31.449-05:00","0.0","17.63"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-12-28T16:00:55.149-05:00","0.0","18.43"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-12-28T16:00:20.033-05:00","0.0","16.09"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-12-28T15:59:39.246-05:00","0.0","17.68"
