"Story","Title","Result","Date","Stability","Duration (s)"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-12-06T16:16:30.392-05:00","0.0","18.79"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-12-06T16:17:16.832-05:00","0.0","49.36"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-12-06T16:16:49.194-05:00","0.0","27.63"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-12-06T16:18:06.203-05:00","0.0","85.98"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-12-06T16:15:54.174-05:00","0.0","36.19"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-12-06T16:14:52.612-05:00","0.0","61.55"
